Energy,Post,Comment,Cleaned_Comment,Token_Count,Sentiment,Sentiment_Mapped,reasons
Solar," “Turn Sunshine Into Savings: Go Solar Today!” Are you prepared to use solar energy to power your house? Take advantage of our exclusive solar bargains to embrace clean, renewable energy and enjoy our exclusive solar deals.Why Choose Life Solar?… See more",You have 550w panels,You have 550w panels,4,LABEL_1,NEUTRAL,not-defined
Solar," “Turn Sunshine Into Savings: Go Solar Today!” Are you prepared to use solar energy to power your house? Take advantage of our exclusive solar bargains to embrace clean, renewable energy and enjoy our exclusive solar deals.Why Choose Life Solar?… See more",Hi Hoan Pham we have 440w Panels available.,Hi Hoan Pham we have 440w Panels available.,9,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Bowen failed before as a minister. He is failing again.,Bowen failed before as a minister. He is failing again.,12,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"They can use the coal powered power stations, that have been closed. All the infrastructure is there already.","They can use the coal powered power stations, that have been closed. All the infrastructure is there already.",21,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,How “clean” and “reliable” is Chernobyl or Fukushima?What about Three Mile Island?,How “clean” and “reliable” is Chernobyl or Fukushima?What about Three Mile Island?,19,LABEL_1,NEUTRAL,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Bowen and Albo are hurrying us down a very costly renewables path with NO guarantee of cheaper reliable energy........madness !,Bowen and Albo are hurrying us down a very costly renewables path with NO guarantee of cheaper reliable energy........madness !,22,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Bowen is not never will be a politician he knows nothing about power  hes a dreamer,Bowen is not never will be a politician he knows nothing about power  hes a dreamer,16,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"Tell him to stand on a hill, put a charging cable ""you know where""....and start talking, the wind and BS that comes out his his mouth will probably prove his own point.","Tell him to stand on a hill, put a charging cable ""you know where""....and start talking, the wind and BS that comes out his his mouth will probably prove his own point.",39,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,They could redesign these coal-fired power station's like they have in Germany with zero imaginations,They could redesign these coal-fired power station's like they have in Germany with zero imaginations,16,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"I'd like to know where they get their % from, haven't heard of any Sky news pols !!","I'd like to know where they get their % from, haven't heard of any Sky news pols !!",22,LABEL_1,NEUTRAL,not-defined
